NUMH;AENC;TENC;TERH;MUNI;SEXO;LNAC;EDAD;NACI;LEST;ENRE;FOCU;SJUB;SILH;EMPTP;JRED;BUSQ;RBUSQ;JORB;GBUSQ;FBUSQ;MSBUSQ1;DISP;PRA1;PRA2;PROF;RACT;SPRO;SECT;CONTR;HTRA;PARE;ELEV
1;2023;4;20;9;6;1;16;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;137,57070
2;2023;4;20;9;6;2;17;1;:;N;S;2;1;;;N;;;;;;;4;04;4;08;4;2;;;2;118,94500
2;2023;4;20;9;1;2;17;1;:;N;N;2;2;;;N;;;;;;;4;07;2;08;4;2;;;1;114,91170
3;2023;4;01;2;6;1;11;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;1;36;1;159,93090
3;2023;4;01;2;6;1;06;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;04;4;2;1;40;3;241,14460
4;2023;4;01;9;1;2;15;1;:;N;N;2;2;;;N;;;;;;;4;07;3;02;4;2;;;1;20,75090
4;2023;4;01;9;6;1;14;1;:;N;N;4;1;;;N;;;;;;;4;04;3;02;4;2;;;2;21,67830
4;2023;4;01;9;1;1;14;1;:;N;N;2;2;;;N;;;;;;;4;07;2;02;4;2;;;4;20,75090
5;2023;4;48;9;1;1;10;1;:;N;N;4;1;;;S;6;2;S;01;12;S;2;05;4;04;4;2;;;1;193,89360
5;2023;4;48;9;6;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;9;02;4;2;5;24;2;176,53920
5;2023;4;48;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;176,36970
6;2023;4;48;9;1;1;13;1;:;N;N;4;1;;;S;6;2;S;07;99;S;2;05;5;04;4;2;;;1;216,32680
7;2023;4;20;9;1;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;03;4;2;1;40;1;192,33460
7;2023;4;20;9;1;1;05;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;202,36450
7;2023;4;20;9;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;3;;;40;2;192,66990
7;2023;4;20;9;1;1;04;1;:;S;N;4;3;;;N;;;;;;;4;04;;;;;;;3;202,36450
8;2023;4;20;3;6;2;16;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;4;2;;;1;197,67090
8;2023;4;20;3;1;3;12;2;:;N;N;4;2;;;N;;;;;;;4;07;9;09;4;2;;;4;187,28120
9;2023;4;01;9;6;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;40,26260
9;2023;4;01;9;1;1;14;1;:;N;N;4;1;1;2;N;;;;;;;1;01;2;05;2;;;60;1;70,30660
9;2023;4;01;9;6;1;12;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;35;2;40,28980
10;2023;4;48;9;1;1;05;1;:;S;N;4;1;;;N;;;;;;;4;04;7;02;4;2;;;3;205,51450
10;2023;4;48;9;1;2;11;1;:;N;S;3;1;;;N;;;;;;;4;04;5;08;4;2;;;1;206,98390
10;2023;4;48;9;6;1;11;1;:;N;N;4;1;2;2;N;;;;;;;1;02;9;10;4;2;1;20;2;186,26430
11;2023;4;01;2;1;1;12;1;:;N;S;4;1;1;2;N;;;;;;;1;02;3;02;4;2;1;40;1;214,36450
12;2023;4;01;9;6;1;07;1;:;N;N;4;1;;;N;;;;;;;4;04;2;09;4;2;;;1;49,74050
12;2023;4;01;9;1;1;01;1;:;S;;;;;;;;;;;;;;;;;;;;;3;32,84560
12;2023;4;01;9;1;1;16;1;:;N;N;2;1;;;N;;;;;;;4;04;6;01;2;;;;4;66,53200
13;2023;4;01;2;6;2;18;1;:;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;157,54320
14;2023;4;01;9;6;1;14;1;:;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;119,53460
14;2023;4;01;9;1;1;13;1;:;N;N;4;2;1;4;N;;;;;;;1;02;1;03;2;;;24;2;66,80530
15;2023;4;01;9;1;1;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;7;04;2;;;32;1;52,13730
15;2023;4;01;9;1;1;06;1;:;N;N;4;1;1;5;N;;;;;;;1;02;7;04;5;;;24;3;87,09250
15;2023;4;01;9;6;2;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;5;04;2;;;32;2;49,54690
16;2023;4;20;3;6;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;4;2;;;2;108,84450
16;2023;4;20;3;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;2;;;;1;105,15370
17;2023;4;20;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;3;02;4;2;;;1;247,36750
17;2023;4;20;9;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;8;02;4;2;;;2;171,57270
18;2023;4;01;9;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;43,49740
19;2023;4;01;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;01;5;04;2;;;84;2;30,11270
19;2023;4;01;9;1;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;01;5;04;1;;;84;1;33,48100
20;2023;4;48;1;1;1;11;1;:;N;S;4;1;1;4;N;;;;;;;1;02;2;05;2;;;12;1;217,40070
21;2023;4;01;9;1;2;13;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;02;4;2;1;32;1;50,33510
21;2023;4;01;9;6;2;12;1;:;N;N;4;1;1;5;N;;;;;;;1;02;8;02;4;2;2;0;2;53,33970
22;2023;4;48;1;1;1;10;1;:;N;S;4;1;1;4;N;;;;;;;1;02;2;09;4;1;5;28;1;218,38700
23;2023;4;48;9;6;1;13;1;:;N;N;2;1;;;N;;;;;;;4;04;4;02;3;;;;1;226,26560
24;2023;4;48;1;1;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;4;04;4;2;1;32;1;197,47750
24;2023;4;48;1;6;1;09;1;:;N;N;4;1;1;4;N;;;;;;;1;02;5;04;4;2;1;32;2;231,13260
24;2023;4;48;1;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;200,60780
25;2023;4;48;1;6;1;08;1;:;S;S;4;1;1;3;N;;;;;;;1;02;2;09;4;1;5;0;1;261,94330
26;2023;4;01;2;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;235,75340
26;2023;4;01;2;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;235,75340
26;2023;4;01;2;6;1;10;1;:;N;N;3;1;;;N;;;;;;;4;04;8;02;4;2;;;1;266,76780
26;2023;4;01;2;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;02;4;2;1;40;2;236,87630
27;2023;4;20;9;6;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;08;3;;;32;1;165,70200
27;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;06;2;;;32;2;181,01360
27;2023;4;20;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;162,57690
27;2023;4;20;9;1;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;162,57690
28;2023;4;01;2;6;1;18;1;:;N;N;4;1;;;N;;;;;;;4;04;;;;;;;1;173,57300
29;2023;4;20;9;1;1;13;1;:;N;N;3;1;;;N;;;;;;;4;04;4;04;4;1;;;2;142,86530
29;2023;4;20;9;6;2;13;1;:;N;S;4;2;1;2;N;;;;;;;1;02;1;04;4;1;1;37;1;138,87570
29;2023;4;20;9;6;1;06;1;:;S;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;3;218,88580
30;2023;4;48;1;1;1;11;1;:;N;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;1;40;3;199,93480
30;2023;4;48;1;6;2;17;1;:;N;N;4;2;;;N;;;;;;;4;07;;;;;;;1;288,72320
30;2023;4;48;1;1;2;17;1;:;N;N;2;2;;;N;;;;;;;4;07;7;03;4;2;;;2;270,38050
31;2023;4;48;1;6;3;03;2;:;S;;;;;;;;;;;;;;;;;;;;;3;224,58550
31;2023;4;48;1;6;3;12;1;:;N;N;4;1;2;2;N;;;;;;;1;02;5;09;3;;;20;4;204,13950
31;2023;4;48;1;6;3;07;2;:;N;N;4;1;;;N;;;;;;;4;04;4;09;4;2;;;1;402,81940
32;2023;4;01;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;8;02;4;2;1;40;1;68,70730
33;2023;4;20;9;1;1;14;1;:;N;N;2;1;;;N;;;;;;;4;04;4;04;4;2;;;1;136,89560
33;2023;4;20;9;6;1;13;1;:;N;N;4;1;;;N;;;;;;;4;04;5;10;4;2;;;2;141,70060
34;2023;4;01;9;6;1;18;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;2;;;;1;63,07460
35;2023;4;01;2;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;224,97200
35;2023;4;01;2;6;3;08;2;:;N;N;4;1;;;N;;;;;;;4;04;;;;;;;2;381,07040
35;2023;4;01;2;1;2;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;211,10980
35;2023;4;01;2;1;3;09;1;:;N;N;4;3;1;2;N;;;;;;;1;01;1;05;1;;;50;1;277,00130
36;2023;4;48;9;6;2;12;1;:;N;N;4;1;;;N;;;;;;;4;04;9;04;4;2;;;2;256,01040
36;2023;4;48;9;1;1;05;1;:;S;N;4;2;;;N;;;;;;;4;04;;;;;;;3;255,30220
36;2023;4;48;9;1;1;13;1;:;N;N;4;2;1;2;N;;;;;;;1;02;4;04;4;2;1;40;1;240,21740
36;2023;4;48;9;6;1;06;1;:;N;N;4;2;1;2;N;;;;;;;1;02;4;08;4;2;1;40;3;320,62570
37;2023;4;48;9;6;2;15;1;:;N;N;4;1;;;N;;;;;;;4;04;5;04;4;2;;;1;219,84320
38;2023;4;48;9;6;2;10;1;:;N;S;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;35;2;174,48550
38;2023;4;48;9;1;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;200,45870
38;2023;4;48;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;08;4;2;1;40;1;173,70210
39;2023;4;01;2;6;2;14;1;:;N;N;2;2;;;N;;;;;;;4;07;9;04;5;;;;1;137,79000
39;2023;4;01;2;1;2;14;1;:;N;N;2;1;;;N;;;;;;;4;04;7;02;4;2;;;2;131,89580
40;2023;4;48;9;6;1;13;1;:;N;N;4;1;1;5;S;3;1;S;07;14;S;1;02;2;09;2;;;20;1;207,72230
41;2023;4;01;2;1;2;18;1;:;N;N;2;1;;;N;;;;;;;4;04;4;02;4;2;;;1;165,66240
42;2023;4;48;1;6;1;09;1;:;N;S;4;1;1;2;S;4;2;S;07;27;S;1;02;3;09;4;2;1;40;1;187,39070
42;2023;4;48;1;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;162,64270
43;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;4;N;;;;;;;1;02;3;04;4;2;1;32;1;186,15500
43;2023;4;20;9;6;1;09;1;:;N;N;4;1;1;4;N;;;;;;;1;02;2;09;4;1;5;32;2;191,82360
43;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;198,55750
43;2023;4;20;9;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;198,55750
44;2023;4;20;3;1;1;05;1;:;N;N;4;4;1;4;N;;;;;;;1;02;7;02;4;2;5;14;3;118,96900
44;2023;4;20;3;6;1;12;1;:;N;N;4;1;2;4;N;;;;;;;1;02;9;08;4;2;1;21;1;112,90900
45;2023;4;20;9;1;1;04;1;:;S;N;4;1;2;2;N;;;;;;;1;02;5;04;4;2;4;20;3;164,35220
45;2023;4;20;9;6;3;11;1;:;N;N;4;1;2;2;N;;;;;;;1;02;9;08;4;2;1;15;1;154,14160
46;2023;4;20;9;6;1;12;1;:;N;N;4;1;;;S;6;2;S;04;78;S;2;05;9;08;4;2;;;2;211,21870
46;2023;4;20;9;6;1;07;1;:;N;S;4;1;1;4;N;;;;;;;1;02;4;08;4;2;1;32;3;239,90970
46;2023;4;20;9;1;2;12;1;:;N;N;4;1;1;4;N;;;;;;;1;02;7;03;4;2;1;0;1;168,43980
47;2023;4;20;9;6;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;5;09;4;1;1;35;1;167,58400
48;2023;4;20;3;1;3;11;1;:;N;N;4;2;1;2;N;;;;;;;1;02;5;04;4;2;1;40;1;181,81330
48;2023;4;20;3;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;172,69850
48;2023;4;20;3;6;1;03;1;:;S;;;;;;;;;;;;;;;;;;;;;3;172,69850
48;2023;4;20;3;6;3;07;1;:;N;N;4;1;;;S;6;2;S;01;0;S;2;05;5;10;4;2;;;2;220,25800
49;2023;4;01;2;6;2;17;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;2;;;;1;150,09240
50;2023;4;20;9;1;1;10;1;:;N;N;4;1;1;2;N;;;;;;;1;02;7;02;4;2;1;40;2;136,93980
50;2023;4;20;9;6;1;02;1;:;S;;;;;;;;;;;;;;;;;;;;;3;144,29380
50;2023;4;20;9;6;1;11;1;:;N;N;4;1;1;2;N;;;;;;;1;02;4;04;4;2;1;40;1;139,05980
51;2023;4;48;9;1;1;11;1;:;N;N;4;4;;;N;;;;;;;4;07;;;;;;;3;207,21540
51;2023;4;48;9;6;2;16;1;:;N;N;4;1;;;N;;;;;;;4;04;9;10;4;2;;;1;292,63800
51;2023;4;48;9;1;3;08;2;:;N;N;4;1;1;3;N;;;;;;;1;02;9;10;4;2;5;0;4;193,96620
52;2023;4;48;9;6;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;2;09;4;1;5;40;1;208,80150
52;2023;4;48;9;1;1;13;1;:;N;N;4;1;1;2;N;;;;;;;1;02;3;05;4;2;1;40;2;204,44960
53;2023;4;48;1;6;1;01;1;:;N;;;;;;;;;;;;;;;;;;;;;3;195,96820
53;2023;4;48;1;6;1;07;1;:;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;2;1;34;2;288,58670
53;2023;4;48;1;1;1;08;1;:;N;N;4;1;2;2;N;;;;;;;1;02;2;09;4;2;1;27;1;239,32500
54;2023;4;48;9;6;1;15;1;:;N;N;2;1;;;N;;;;;;;4;04;5;04;4;2;;;2;165,21890
