dataset,combination_id,number_of_shared_variables,total_number_variables,ava_ori,distance,linkage_algo,contribution_score1,unicity_score1,contribution_score2,unicity_score2,correlation_difference_sum,correlation_difference_mean,correlation_difference_std,correlation_difference_max,reconstruction_difference_sum,reconstruction_difference_mean,reconstruction_difference_std,reconstruction_difference_max,hr1,hr2,hr_linked
student_dropout,0,2,37,avatars,gower,lsa,0.11129941046598041,1.0,0.10544710454739294,0.9498191681735986,138.02010121471005,0.03423117589650547,0.03445101707805779,0.9896073896441209,213.3098985478282,0.048216525,0.03690079,0.21829435,90.28,87.82,99.28
student_dropout,0,2,37,avatars,proj_eucl_all_source,lsa,0.11129941046598041,1.0,0.10544710454739294,0.9498191681735986,130.60817243330908,0.03239289990905483,0.03191648490661345,0.9896073896441208,215.89665341749787,0.048801232,0.038527936,0.32209945,90.28,87.82,99.03
student_dropout,0,2,37,avatars,row_order,lsa,0.11129941046598041,1.0,0.10544710454739294,0.9498191681735986,103.2585592911046,0.025609761728944594,0.025015033934851123,0.9346767944058768,184.2719605974853,0.041652795,0.032709986,0.25370747,90.28,87.82,94.39
student_dropout,0,2,37,avatars,random,lsa,0.11129941046598041,1.0,0.10544710454739294,0.9498191681735986,147.99329368862738,0.03670468593467941,0.035992728128865684,1.017072687263243,219.2731392979622,0.04956445,0.038103018,0.26214868,90.28,87.82,99.19
student_dropout,0,2,37,original,gower,lsa,0.10988834839812918,0.36008137432188064,0.11489350261564843,0.36008137432188064,128.27099477157506,0.02524025871144728,0.026330716976146973,0.839044126943988,118.14520233869553,0.026705518,0.02643839,0.21374562,,,95.46
student_dropout,0,2,37,original,proj_eucl_all_source,lsa,0.10988834839812918,0.36008137432188064,0.11489350261564843,0.36008137432188064,77.96846685706676,0.01534208320682148,0.01936037057749524,0.7271715766847904,74.46003761328757,0.01683093,0.021347625,0.18559809,,,89.26
student_dropout,0,2,37,original,row_order,lsa,0.10988834839812918,0.36008137432188064,0.11489350261564843,0.36008137432188064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,80.9
student_dropout,0,2,37,original,random,lsa,0.10988834839812918,0.36008137432188064,0.11489350261564843,0.36008137432188064,163.05707303959895,0.03208521704832724,0.03234810608925179,0.9882075272895859,141.8889773786068,0.032072555,0.027238814,0.21846214,,,97.06
student_dropout,1,4,37,avatars,gower,lsa,0.21476607346418944,0.11256781193490054,0.16579750889873224,0.08114828209764918,101.08580996878015,0.030229010158128036,0.03120286254025448,1.0153157828222805,213.4626290462911,0.048251048,0.037382983,0.28032658,90.03,91.05,98.49
student_dropout,1,4,37,avatars,proj_eucl_all_source,lsa,0.21476607346418944,0.11256781193490054,0.16579750889873224,0.08114828209764918,91.31330103163518,0.027306609160177985,0.027288543164344013,0.9848837041311654,208.12108513340354,0.047043644,0.037290342,0.26465577,90.03,91.05,98.35
