"rowid","household_number","survey_year","reference_quarter","province","capital","sex","place_birth","age","nationality","formal_educ_system","professional_training","retirement_status","household_duties","part-time_empl","reason_reduced_work","search_work","search_reason","JORB","search_steps","search_method","search_months","availability","relation_to_activity1","relation_to_activity2","main_occupation","main_activity","main_prof_situation","main_sector","contract_type","hours","relationship","elevator","matricule"
1,1,2023,1,1,2,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"164.781","1_1"
2,1,2023,1,1,2,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,1,1,4,2,NA,NA,55,2,"184.1588","2_1"
3,1,2023,1,1,2,1,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,1,2,3,NA,NA,40,1,"209.23","3_1"
4,2,2023,1,20,9,6,1,17,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"121.0416","4_2"
5,2,2023,1,20,9,1,1,18,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,4,2,NA,NA,NA,1,"114.0514","5_2"
6,3,2023,1,1,2,6,1,16,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,NA,NA,NA,NA,NA,NA,2,"139.1501","6_3"
7,3,2023,1,1,2,1,1,18,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"132.6347","7_3"
8,4,2023,1,1,9,1,1,11,1,"N","N",4,1,2,3,"N",NA,NA,"",NA,NA,"",1,2,1,2,1,NA,NA,0,1,"67.5254","8_4"
9,4,2023,1,1,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"60.5035","9_4"
10,4,2023,1,1,9,6,1,10,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,8,1,NA,NA,40,2,"67.5981","10_4"
11,5,2023,1,20,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,1,"131.5067","11_5"
12,6,2023,1,48,9,6,1,14,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,2,"161.9524","12_6"
13,6,2023,1,48,9,1,1,14,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,3,5,4,2,NA,NA,1,"161.9909","13_6"
14,7,2023,1,1,2,1,2,17,1,"N","N",2,2,NA,NA,"N",NA,NA,"",NA,NA,"",4,7,8,4,4,2,NA,NA,2,"134.0093","14_7"
15,7,2023,1,1,2,6,2,17,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,7,2,4,2,NA,NA,1,"140.5922","15_7"
16,8,2023,1,20,9,1,1,17,1,"N","N",2,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,8,2,4,2,NA,NA,2,"108.8106","16_8"
17,8,2023,1,20,9,6,1,17,1,"N","N",4,1,NA,NA,"N",NA,NA,"",NA,NA,"",4,4,9,10,4,2,NA,NA,1,"115.4796","17_8"
18,9,2023,1,48,9,1,2,13,1,"N","S",4,1,1,2,"S",5,1,"S",7,0,"S",1,2,5,8,4,2,1,36,1,"194.7212","18_9"
19,9,2023,1,48,9,6,1,13,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,4,3,4,2,5,40,2,"210.4973","19_9"
20,10,2023,1,48,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"237.6001","20_10"
21,10,2023,1,48,9,1,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"237.6001","21_10"
22,10,2023,1,48,9,6,1,9,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,2,9,4,1,5,35,1,"218.8408","22_10"
23,10,2023,1,48,9,1,1,8,1,"N","N",4,1,1,2,"N",NA,NA,"",NA,NA,"",1,2,3,4,4,2,1,35,2,"272.2742","23_10"
24,11,2023,1,1,9,1,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"76.65","24_11"
25,11,2023,1,1,9,1,1,2,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"76.65","25_11"
26,11,2023,1,1,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"81.6459","26_11"
27,11,2023,1,1,9,1,1,7,1,"N","N",4,1,NA,NA,"S",6,1,"S",1,99,"S",4,4,9,3,4,2,NA,NA,1,"162.6398","27_11"
28,11,2023,1,1,9,6,2,7,1,"N","S",4,1,NA,NA,"S",6,3,"S",1,4,"S",4,4,9,9,4,1,NA,NA,2,"127.7929","28_11"
29,12,2023,1,1,9,1,2,10,1,"N","S",4,1,NA,NA,"S",6,1,"S",3,60,"S",2,5,3,5,2,NA,NA,NA,1,"37.8947","29_12"
30,13,2023,1,1,9,6,1,3,1,"S","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"50.567","30_13"
31,13,2023,1,1,9,6,1,1,1,"N","",NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,3,"50.567","31_13"
