"age","matricule","nationality","place_birth","sex","province","household_duties","relation_to_activity1","relation_to_activity2"
3,"1_1",1,1,1,1,NA,NA,NA
9,"2_1",1,1,6,1,1,1,1
9,"3_1",1,1,1,1,1,1,2
17,"4_2",1,1,6,20,1,4,4
18,"5_2",1,1,1,20,2,4,7
16,"6_3",1,1,6,1,1,4,4
18,"7_3",1,1,1,1,1,4,4
11,"8_4",1,1,1,1,1,1,2
3,"9_4",1,1,1,1,NA,NA,NA
10,"10_4",1,1,6,1,1,1,2
14,"11_5",1,1,1,20,1,4,4
14,"12_6",1,1,6,48,1,4,4
14,"13_6",1,1,1,48,1,4,4
17,"14_7",1,2,1,1,2,4,7
17,"15_7",1,2,6,1,1,4,4
17,"16_8",1,1,1,20,1,4,4
17,"17_8",1,1,6,20,1,4,4
13,"18_9",1,2,1,48,1,1,2
13,"19_9",1,1,6,48,1,1,2
2,"20_10",1,1,1,48,NA,NA,NA
1,"21_10",1,1,1,48,NA,NA,NA
9,"22_10",1,1,6,48,1,1,2
8,"23_10",1,1,1,48,1,1,2
3,"24_11",1,1,1,1,NA,NA,NA
2,"25_11",1,1,1,1,NA,NA,NA
3,"26_11",1,1,6,1,NA,NA,NA
7,"27_11",1,1,1,1,1,4,4
7,"28_11",1,2,6,1,1,4,4
10,"29_12",1,2,1,1,1,2,5
3,"30_13",1,1,6,1,NA,NA,NA
1,"31_13",1,1,6,1,NA,NA,NA
8,"32_13",1,3,6,1,1,1,2
7,"33_13",1,3,1,1,1,1,2
6,"34_14",1,1,6,48,1,1,2
6,"35_14",1,1,1,48,1,1,2
14,"36_15",1,1,6,48,1,4,4
15,"37_15",1,1,1,48,2,4,7
7,"38_16",1,2,1,20,1,1,2
7,"39_16",1,2,6,20,2,1,2
14,"40_17",1,2,6,20,1,4,4
16,"41_18",1,1,1,1,1,4,4
16,"42_18",1,1,6,1,4,4,7
4,"43_19",1,1,6,1,2,4,4
11,"44_19",1,1,1,1,1,1,2
10,"45_19",1,1,6,1,1,4,4
5,"46_20",1,1,6,48,1,1,3
11,"47_20",1,2,1,48,1,1,2
4,"48_20",1,1,1,48,2,4,7
10,"49_20",1,1,6,48,1,4,4
16,"50_21",1,2,1,1,1,4,4
16,"51_21",1,2,6,1,1,4,4
11,"52_22",1,1,6,48,1,4,4
6,"53_22",1,1,6,48,2,4,4
11,"54_23",1,1,1,20,1,1,2
11,"55_24",1,1,6,48,1,1,2
17,"56_24",1,2,6,48,2,4,7
11,"57_25",1,1,1,48,1,2,5
3,"58_25",1,1,1,48,NA,NA,NA
9,"59_25",1,1,6,48,1,2,5
1,"60_25",1,1,6,48,NA,NA,NA
9,"61_26",2,3,6,1,1,1,3
4,"62_26",1,3,6,1,1,4,4
11,"63_26",1,3,1,1,1,1,2
3,"64_26",1,3,1,1,NA,NA,NA
5,"65_27",1,1,6,20,1,1,3
7,"66_27",1,1,1,20,1,1,2
14,"67_28",1,2,1,1,1,1,2
12,"68_29",1,1,6,20,1,1,2
16,"69_30",1,2,6,48,1,4,4
11,"70_31",1,1,6,48,2,1,2
4,"71_32",1,1,6,1,2,4,4
10,"72_32",1,1,1,1,1,1,2
3,"73_32",1,1,1,1,2,NA,NA
10,"74_32",1,1,6,1,1,1,2
10,"75_33",1,1,1,20,1,1,2
5,"76_33",1,1,1,20,1,1,2
10,"77_33",1,1,6,20,1,1,2
5,"78_34",1,3,6,1,1,2,5
7,"79_34",1,1,1,1,1,1,2
13,"80_35",1,2,6,1,1,4,4
18,"81_36",1,2,6,48,1,4,4
14,"82_37",1,2,6,48,1,4,4
15,"83_37",1,2,1,48,2,4,7
14,"84_37",1,2,1,48,1,4,4
7,"85_38",1,1,1,48,1,1,2
6,"86_38",1,1,6,48,1,1,2
18,"87_39",1,2,6,1,1,4,4
13,"88_39",1,2,1,1,1,1,2
12,"89_39",1,2,6,1,1,1,2
3,"90_40",1,1,1,48,NA,NA,NA
10,"91_40",1,1,1,48,1,1,2
2,"92_40",1,1,6,48,NA,NA,NA
10,"93_40",1,1,6,48,1,1,2
16,"94_41",1,2,1,1,1,4,4
15,"95_41",1,2,6,1,1,4,4
9,"96_42",1,1,6,48,1,2,5
3,"97_42",1,1,6,48,NA,NA,NA
2,"98_42",1,1,6,48,NA,NA,NA
9,"99_42",1,1,1,48,1,1,1
3,"100_43",1,1,1,1,NA,NA,NA
9,"101_43",1,1,1,1,1,1,2
9,"102_43",1,2,6,1,1,1,2
3,"103_43",1,1,1,1,NA,NA,NA
16,"104_44",1,2,1,20,1,4,4
3,"105_45",1,1,1,20,NA,NA,NA
10,"106_45",1,1,1,20,1,1,2
6,"107_46",2,3,6,20,1,4,4
2,"108_46",2,3,6,20,NA,NA,NA
1,"109_46",1,1,6,20,NA,NA,NA
14,"110_47",1,1,1,20,1,4,4
8,"111_48",1,1,6,20,1,1,1
6,"112_49",1,1,6,48,1,1,2
18,"113_50",1,1,6,1,1,4,4
18,"114_50",1,1,1,1,4,4,7
9,"115_51",1,1,1,1,1,1,2
1,"116_51",1,1,1,1,NA,NA,NA
2,"117_51",1,1,6,1,NA,NA,NA
9,"118_51",1,1,6,1,1,1,2
13,"119_52",1,1,1,48,1,4,4
11,"120_53",1,1,6,48,1,1,2
4,"121_53",1,1,6,48,2,4,4
11,"122_53",1,1,1,48,1,1,2
3,"123_53",1,1,6,48,NA,NA,NA
9,"124_54",1,1,1,48,1,1,2
6,"125_54",1,1,1,48,1,4,4
9,"126_54",1,1,6,48,1,1,2
14,"127_55",1,1,6,48,1,4,4
6,"128_55",1,1,1,48,2,1,2
7,"129_55",1,1,6,48,1,1,2
8,"130_56",1,1,1,1,1,1,2
11,"131_57",1,1,1,20,1,1,2
9,"132_58",1,1,1,48,1,1,2
11,"133_59",1,1,6,20,1,1,2
4,"134_59",1,1,6,20,2,4,4
5,"135_59",1,1,6,20,2,1,2
12,"136_59",1,2,1,20,1,1,2
8,"137_60",1,1,6,20,1,1,1
11,"138_61",1,2,6,20,1,1,2
10,"139_61",1,1,1,20,1,1,2
3,"140_61",1,1,6,20,NA,NA,NA
3,"141_61",1,1,1,20,NA,NA,NA
3,"142_62",1,1,1,1,NA,NA,NA
3,"143_62",1,1,1,1,NA,NA,NA
9,"144_62",1,1,1,1,1,1,2
4,"145_62",1,1,1,1,2,4,4
10,"146_62",1,1,6,1,1,1,2
8,"147_63",1,1,6,20,1,1,2
9,"148_63",1,1,1,20,1,1,2
1,"149_63",1,1,1,20,NA,NA,NA
12,"150_64",1,1,6,48,1,1,2
5,"151_64",1,1,1,48,2,4,4
12,"152_64",1,1,1,48,1,1,2
10,"153_65",1,1,6,1,1,1,2
4,"154_65",1,1,6,1,2,4,4
3,"155_65",1,1,1,1,NA,NA,NA
11,"156_65",1,1,1,1,1,1,2
15,"157_66",1,2,1,1,1,4,4
14,"158_66",1,2,6,1,1,4,4
15,"159_67",1,2,6,20,1,4,4
12,"160_68",1,1,1,20,1,4,4
12,"161_69",1,1,6,48,1,1,2
18,"162_69",1,2,1,48,3,4,7
16,"163_70",1,2,6,48,1,4,4
11,"164_70",1,1,1,48,4,4,7
12,"165_71",1,2,1,48,2,1,1
5,"166_71",1,1,1,48,2,1,2
12,"167_71",1,1,6,48,1,4,4
4,"168_71",1,1,6,48,2,4,4
6,"169_72",1,1,6,48,2,1,2
5,"170_72",1,1,6,48,3,4,4
12,"171_72",1,1,6,48,1,1,2
11,"172_72",1,1,1,48,1,1,1
5,"173_72",1,1,1,48,2,4,4
10,"174_73",1,1,6,1,2,1,2
3,"175_73",1,1,1,1,NA,NA,NA
3,"176_73",1,1,1,1,NA,NA,NA
10,"177_73",1,1,1,1,2,1,2
14,"178_74",1,1,6,20,1,4,4
14,"179_74",1,1,1,20,1,1,2
14,"180_75",1,1,6,1,2,4,7
11,"181_76",2,3,6,48,1,1,2
