,age,nationality,place_birth,sex,province,relationship,main_occupation,availability,search_work,search_reason,search_steps,search_method,search_months,main_activity,main_prof_situation,main_sector,contract_type,hours
0,11,1,1,6,48,2,3.0,,N,,,,,10.0,4.0,2.0,1.0,-0.0
1,3,1,1,1,20,3,,,,,,,,,,,,
2,12,1,2,6,48,2,2.0,,N,,,,,2.0,4.0,2.0,1.0,38.0
3,12,1,2,6,48,2,3.0,S,S,6.0,S,10.0,17.0,9.0,4.0,2.0,,
4,11,1,2,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,1.0,40.0
5,16,1,2,1,48,1,9.0,,N,,,,,3.0,4.0,1.0,,
6,3,1,1,6,1,3,,,N,,,,,,,,,
7,11,1,1,6,48,1,9.0,,N,,,,,4.0,4.0,2.0,1.0,36.0
8,10,1,1,6,1,2,9.0,,N,,,,,9.0,4.0,2.0,2.0,21.0
9,10,1,1,1,1,1,1.0,,N,,,,,2.0,3.0,,,40.0
10,3,1,3,1,20,3,,,,,,,,,,,,
11,12,1,1,6,1,1,2.0,,N,,,,,9.0,2.0,,,21.0
12,18,1,2,1,48,1,5.0,,N,,,,,4.0,4.0,2.0,,
13,4,1,1,6,20,3,,,N,,,,,,,,,
14,14,1,1,1,20,1,3.0,,N,,,,,2.0,2.0,,,39.0
15,14,1,2,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
16,4,1,1,1,20,3,,,N,,,,,,,,,
17,2,2,1,6,20,3,,,,,,,,,,,,
18,16,1,2,1,48,1,7.0,,N,,,,,2.0,4.0,2.0,,
19,11,2,3,1,20,2,5.0,,N,,,,,4.0,2.0,,,36.0
20,5,1,1,6,48,3,5.0,,N,,,,,10.0,4.0,2.0,,
21,11,1,1,1,20,1,3.0,,N,,,,,8.0,2.0,2.0,,
22,10,1,1,6,48,1,4.0,,N,,,,,4.0,4.0,2.0,,
23,7,1,1,1,1,3,9.0,S,S,6.0,S,1.0,5.0,8.0,4.0,2.0,,
24,14,1,2,6,48,2,9.0,,N,,,,,4.0,4.0,2.0,,
25,9,1,1,1,20,1,1.0,,N,,,,,4.0,1.0,,,43.0
26,10,1,1,1,20,3,2.0,,N,,,,,9.0,4.0,1.0,1.0,35.0
27,16,1,2,6,1,1,9.0,,N,,,,,8.0,4.0,2.0,,
28,10,1,1,6,48,1,5.0,,N,,,,,4.0,1.0,,,39.0
29,11,1,1,6,1,1,1.0,,N,,,,,9.0,2.0,,,40.0
30,10,2,3,1,20,1,9.0,,N,,,,,8.0,4.0,2.0,1.0,23.0
31,8,1,1,6,48,1,5.0,,N,,,,,9.0,4.0,1.0,2.0,4.0
32,10,1,1,1,20,2,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
33,11,1,1,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,2.0,11.0
34,17,1,1,6,1,1,,,N,,,,,,,,,
35,9,2,3,1,20,1,9.0,S,S,6.0,S,8.0,2.0,1.0,4.0,2.0,,
36,18,1,2,6,20,1,5.0,,N,,,,,4.0,4.0,2.0,,
37,1,2,1,6,1,3,,,,,,,,,,,,
38,17,1,1,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
39,1,1,1,6,1,3,,,,,,,,,,,,
40,7,1,1,1,48,3,7.0,S,S,6.0,S,4.0,1.0,4.0,4.0,2.0,,
41,9,1,1,6,20,1,5.0,,N,,,,,9.0,4.0,1.0,1.0,36.0
42,12,1,1,1,48,1,9.0,,N,,,,,2.0,1.0,,,40.0
43,8,1,1,6,1,2,5.0,,N,,,,,10.0,4.0,2.0,1.0,40.0
44,16,1,1,1,48,1,2.0,,N,,,,,2.0,4.0,2.0,,
45,9,1,1,1,20,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,41.0
46,8,1,1,6,48,1,4.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
47,8,2,3,6,48,2,9.0,S,S,3.0,S,7.0,11.0,8.0,4.0,2.0,1.0,20.0
48,9,1,1,6,48,2,4.0,,N,,,,,9.0,4.0,2.0,1.0,38.0
49,3,1,1,6,1,3,,,,,,,,,,,,
50,17,1,2,6,20,1,8.0,,N,,,,,2.0,4.0,2.0,,
51,3,1,1,1,1,3,,,,,,,,,,,,
52,13,1,1,6,48,2,4.0,,N,,,,,4.0,4.0,2.0,,
53,12,1,1,1,1,1,2.0,,N,,,,,9.0,4.0,1.0,1.0,41.0
54,2,1,2,6,20,3,,,,,,,,,,,,
55,3,1,1,1,20,3,,,N,,,,,,,,,
56,16,1,1,1,1,1,6.0,,N,,,,,1.0,2.0,,,
57,6,1,1,6,1,3,8.0,S,S,4.0,S,5.0,4.0,4.0,4.0,2.0,5.0,16.0
58,4,1,1,1,1,3,,,N,,,,,,,,,
59,15,1,1,1,20,1,4.0,,N,,,,,7.0,2.0,,,
60,9,1,1,6,48,2,5.0,,N,,,,,9.0,4.0,2.0,1.0,38.0
61,15,1,1,6,1,1,2.0,,N,,,,,2.0,4.0,2.0,,
62,18,1,1,6,20,4,,,N,,,,,,,,,
63,11,1,2,6,48,2,5.0,,N,,,,,4.0,4.0,2.0,,
64,13,1,1,6,20,1,5.0,,N,,,,,9.0,4.0,2.0,,
65,10,1,1,1,48,1,8.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
66,17,1,1,6,20,1,7.0,,N,,,,,2.0,4.0,2.0,,
67,9,1,1,6,48,2,2.0,,N,,,,,9.0,4.0,2.0,1.0,32.0
68,8,1,1,1,20,1,2.0,,N,,,,,2.0,4.0,2.0,1.0,40.0
69,12,1,1,6,1,2,5.0,,N,,,,,4.0,3.0,,,
70,11,1,1,6,20,1,3.0,,N,,,,,4.0,4.0,2.0,1.0,40.0
71,5,1,1,1,48,3,3.0,,N,,,,,5.0,4.0,2.0,5.0,40.0
72,11,1,1,6,20,1,9.0,S,S,4.0,S,4.0,15.0,8.0,4.0,2.0,5.0,8.0
73,11,1,1,6,48,2,8.0,S,S,6.0,S,1.0,27.0,10.0,4.0,2.0,,
74,2,1,1,6,20,3,,,,,,,,,,,,
75,14,1,1,1,48,1,4.0,,N,,,,,4.0,4.0,2.0,,
76,5,1,1,1,48,3,,,N,,,,,,,,,
77,10,1,1,6,1,2,5.0,,N,,,,,4.0,4.0,2.0,1.0,30.0
78,1,1,1,6,1,3,,,,,,,,,,,,
79,10,1,1,6,20,1,2.0,,N,,,,,9.0,4.0,2.0,5.0,35.0
80,12,1,1,6,1,1,4.0,,N,,,,,9.0,4.0,1.0,1.0,38.0
